-- POLICIES RLS EXPORTADAS (MODELO CSV)
schemaname,tablename,policyname,command,roles,using_expression,with_check_expression
public,auditoria,Administradores veem toda auditoria,SELECT,{authenticated},"(EXISTS ( SELECT 1 FROM (user_perfis up JOIN perfil p ON ((up.perfil_id = p.id))) WHERE ((up.user_id = auth.uid()) AND (p.role = 'administrador'::text) AND (up.ativo = true))))",null
public,auditoria,Clientes veem auditoria de suas empresas,SELECT,{authenticated},"(empresa_id IN ( SELECT empresa.id FROM empresa WHERE (empresa.user_id = auth.uid())))",null
public,auditoria,Contadores veem auditoria de suas empresas,SELECT,{authenticated},"((EXISTS ( SELECT 1 FROM (user_perfis up JOIN perfil p ON ((up.perfil_id = p.id))) WHERE ((up.user_id = auth.uid()) AND (p.role = 'contador'::text) AND (up.ativo = true)))) AND (empresa_id IN ( SELECT empresa.id FROM empresa WHERE (empresa.user_id = auth.uid()))))",null
public,auditoria,Sistema insere auditoria,INSERT,{authenticated},null,true
public,certificados_digitais,Admins can manage all certificates,ALL,{public},"(EXISTS ( SELECT 1 FROM (user_perfis up JOIN perfil p ON ((up.perfil_id = p.id))) WHERE ((up.user_id = auth.uid()) AND (p.role = 'administrador'::text) AND (up.ativo = true))))","(EXISTS ( SELECT 1 FROM (user_perfis up JOIN perfil p ON ((up.perfil_id = p.id))) WHERE ((up.user_id = auth.uid()) AND (p.role = 'administrador'::text) AND (up.ativo = true))))"
public,certificados_digitais,Admins can view all certificates,SELECT,{public},"(EXISTS ( SELECT 1 FROM (user_perfis up JOIN perfil p ON ((up.perfil_id = p.id))) WHERE ((up.user_id = auth.uid()) AND (p.role = 'administrador'::text) AND (up.ativo = true))))",null
public,certificados_digitais,Contadores can view certificates,SELECT,{public},"(EXISTS ( SELECT 1 FROM (user_perfis up JOIN perfil p ON ((up.perfil_id = p.id))) WHERE ((up.user_id = auth.uid()) AND (p.role = 'contador'::text) AND (up.ativo = true))))",null
public,certificados_digitais,Users can delete their own certificates,DELETE,{public},(user_id = auth.uid()),null
public,certificados_digitais,Users can insert their own certificates,INSERT,{public},null,(user_id = auth.uid())
public,certificados_digitais,Users can update their own certificates,UPDATE,{public},(user_id = auth.uid()),(user_id = auth.uid())
public,certificados_digitais,Users can view their own certificates,SELECT,{public},(user_id = auth.uid()),null
public,cobranca_plano,Admin can view all cobranca_plano,SELECT,{public},"(EXISTS ( SELECT 1 FROM (user_perfis up JOIN perfil p ON ((p.id = up.perfil_id))) WHERE ((up.user_id = auth.uid()) AND (p.role = 'administrador'::text) AND (up.ativo = true))))",null
